STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",8/8/2019,4.7,0.2,0,0,,84,67
USW00094728,"NY CITY CENTRAL PARK, NY US",8/9/2019,3.58,0.08,0,0,,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/10/2019,5.14,0,0,0,,81,66
USW00094728,"NY CITY CENTRAL PARK, NY US",8/11/2019,3.13,0,0,0,,80,63
USW00094728,"NY CITY CENTRAL PARK, NY US",8/12/2019,3.58,0,0,0,,85,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/13/2019,3.58,0.07,0,0,,79,71
USW00094728,"NY CITY CENTRAL PARK, NY US",8/14/2019,3.58,0,0,0,,84,73
USW00094728,"NY CITY CENTRAL PARK, NY US",8/15/2019,4.03,0,0,0,,85,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/16/2019,2.68,0,0,0,,79,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/17/2019,3.36,0,0,0,,87,73
USW00094728,"NY CITY CENTRAL PARK, NY US",8/18/2019,2.24,0.64,0,0,,90,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/19/2019,2.91,0,0,0,,90,72
USW00094728,"NY CITY CENTRAL PARK, NY US",8/20/2019,2.91,0,0,0,,88,75
USW00094728,"NY CITY CENTRAL PARK, NY US",8/21/2019,2.91,0.1,0,0,,87,74
USW00094728,"NY CITY CENTRAL PARK, NY US",8/22/2019,3.8,1.01,0,0,,90,71
USW00094728,"NY CITY CENTRAL PARK, NY US",8/23/2019,3.36,0.09,0,0,,74,65
USW00094728,"NY CITY CENTRAL PARK, NY US",8/24/2019,5.14,0,0,0,,76,64
USW00094728,"NY CITY CENTRAL PARK, NY US",8/25/2019,8.95,0,0,0,,77,63
USW00094728,"NY CITY CENTRAL PARK, NY US",8/26/2019,6.26,0,0,0,,74,61
USW00094728,"NY CITY CENTRAL PARK, NY US",8/27/2019,3.13,0,0,0,,75,62
USW00094728,"NY CITY CENTRAL PARK, NY US",8/28/2019,3.8,0.08,0,0,,74,67
USW00094728,"NY CITY CENTRAL PARK, NY US",8/29/2019,4.03,0,0,0,,81,65
USW00094728,"NY CITY CENTRAL PARK, NY US",8/30/2019,4.03,0,0,0,,86,67
USW00094728,"NY CITY CENTRAL PARK, NY US",8/31/2019,5.82,0,0,0,,81,69
USW00094728,"NY CITY CENTRAL PARK, NY US",9/1/2019,4.47,0,0,0,,78,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/2/2019,2.46,0.3,0,0,,74,69
USW00094728,"NY CITY CENTRAL PARK, NY US",9/3/2019,3.36,0,0,0,,82,67
USW00094728,"NY CITY CENTRAL PARK, NY US",9/4/2019,3.8,0,0,0,,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",9/5/2019,5.14,0,0,0,,74,65
USW00094728,"NY CITY CENTRAL PARK, NY US",9/6/2019,8.28,0.32,0,0,,67,58
USW00094728,"NY CITY CENTRAL PARK, NY US",9/7/2019,4.47,0.02,0,0,,75,56
USW00094728,"NY CITY CENTRAL PARK, NY US",9/8/2019,2.24,0,0,0,,77,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/9/2019,4.47,0,0,0,,78,64
USW00094728,"NY CITY CENTRAL PARK, NY US",9/10/2019,2.91,0.01,0,0,,76,66
USW00094728,"NY CITY CENTRAL PARK, NY US",9/11/2019,5.14,0,0,0,,88,69
USW00094728,"NY CITY CENTRAL PARK, NY US",9/12/2019,4.92,0.17,0,0,,81,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/13/2019,6.49,0,0,0,,72,57
USW00094728,"NY CITY CENTRAL PARK, NY US",9/14/2019,2.91,0,0,0,,74,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/15/2019,2.24,0,0,0,,82,68
USW00094728,"NY CITY CENTRAL PARK, NY US",9/16/2019,2.01,0,0,0,,77,68
USW00094728,"NY CITY CENTRAL PARK, NY US",9/17/2019,5.59,0,0,0,,76,62
